element 1,element 2,element 3,element 4,element 5,element 6,element 7,element 8,element 9,element 10,element 11,element 12,property
0.784351145,0.186068702,0.009541985,0.009541985,0.009541985,0,0.000381679,0.00028626,0.00028626,0,0,0,0.800447305
0.785129968,0.174258193,0.009681011,0,0.009681011,0,0.00038724,0.00038724,0.000145215,0,0,0.020330122,0.806809999
0.78600504,0.193836015,0.009691801,0,0.009691801,0,0.000387672,0.000242295,0.000145377,0,0,0,0.80013064
0.786402596,0.18401046,0.009684761,0,0.009684761,0,0.00038739,0.009684761,0.000145271,0,0,0,0.805362455
0.7879312,0.182569424,0.009608917,0,0.009608917,0,0.000384357,0.009608917,0.000288268,0,0,0,0.80897889
0.788688292,0.190811684,0.009785215,0.009785215,0,0,0.000391409,0.00024463,0.000293556,0,0,0,0.806542474
0.789212207,0.160870594,0.014194464,0.02365744,0.009462976,0,0.000378519,0.002081855,0.000141945,0,0,0,0.820206738
0.790719697,0.118371212,0.004734848,0.075757576,0.009469697,0,0.000189394,0.000568182,0.000189394,0,0,0,0.831172704
0.791965567,0.181731229,0.009564802,0.004782401,0.009564802,0,0.000382592,0.000286944,0.000286944,0,0,0.00143472,0.81729432
0.792079208,0.172191132,0.009566174,0.015305878,0.009566174,0,0.000382647,0.000765294,0.000143493,0,0,0,0.821420205
0.792362768,0.181384248,0.009546539,0.00477327,0.009546539,0,0.000381862,0.000286396,0.000286396,0,0,0.001431981,0.818224741
0.79280348,0.187821273,0.004942665,0,0.00988533,0,0.000395413,0.00029656,0.003459866,0,0,0.000395413,0.816126995
0.793786113,0.161030596,0.009472388,0.02368097,0.009472388,0,0.000378896,0.001894478,0.000284172,0,0,0,0.828931761
0.795005005,0.166817597,0.014298651,0.009532434,0.009532434,0,0.000381297,0.004289595,0.000142987,0,0,0,0.829684077
0.79553653,0.173151845,0.009619547,0,0.009619547,0,0.000384782,0.011543456,0.000144293,0,0,0,0.827905975
0.795854331,0.171151469,0.014262622,0,0.014262622,0,0.000380337,0.000760673,0.003327945,0,0,0,0.8298292
0.796250664,0.130453689,0.004831618,0.062811035,0.004831618,0,0.000386529,0.000289897,0.000144949,0,0,0,0.840419079
0.796277047,0.123971277,0.019072504,0.04768126,0.004768126,0.007629002,0.00038145,0.000190725,2.86E-05,0,0,0,0.844912405
0.796320253,0.172488141,0.009582675,0,0.009582675,0,0.000383307,0.011499209,0.00014374,0,0,0,0.829726381
0.79701943,0.169779287,0.009432183,0.00565931,0.009432183,0.007074137,0.000377287,0.000943218,0.000282965,0,0,0,0.832296613
0.797177458,0.171641079,0.009535616,0,0.009535616,0,0.000381425,0.011442739,0.000286068,0,0,0,0.83176923
0.798236788,0.172488141,0.009582675,0,0.009582675,0,0.000383307,0.009582675,0.00014374,0,0,0,0.833543824
0.798403194,0.133067199,0.0095048,0.0522764,0.00570288,0,0.000285144,0.00047524,0.000285144,0,0,0,0.845390258
0.798722045,0.169141139,0.00939673,0.005638038,0.008457057,0.007047547,0.000375869,0.000939673,0.000281902,0,0,0,0.835891273
0.950270803,0.016740522,0.007877893,0.016740522,0.003938946,0,0.000344658,0.003741999,0.000344658,0,0,0,1.197230893
0.950296664,0.002918004,0.010699348,0.002918004,0.01459002,0.00243167,0.0002918,0.015562688,0.0002918,0,0,0,1.197980721
0.95039889,0,0.005946187,0.037659184,0.003468609,0,0.000346861,0.001783856,0.000396412,0,0,0,1.196449757
0.950798847,0.008794645,0.008794645,0.019543656,0.005863097,0.002931548,0.000293155,0.002736112,0.000244296,0,0,0,1.198632666
0.951202613,0.034643175,0.006928635,0,0.00395922,0,0.000247451,0.002672474,0.000346432,0,0,0,1.198617931
0.951225431,0.006794467,0.012618297,0.007765106,0.007765106,0.007279786,0.00024266,0.001164766,0.000291191,0,0.004853191,0,1.200182718
0.951296773,0.014848545,0.012868739,0.014848545,0.00346466,0,0.000296971,0.002078796,0.000296971,0,0,0,1.199918681
0.952101375,0,0.010763736,0.021527472,0,0.012720779,0.000440335,0.001957043,0.000489261,0,0,0,1.201504358
0.952239984,0.008880995,0.008880995,0.019735544,0.002960332,0.002466943,0.000246694,0.00434182,0.000246694,0,0,0,1.201962
0.952380952,0.013400335,0.010528835,0.006700168,0.007657334,0.005743001,0.001531467,0.00143575,0.000335008,0,0,0.00028715,1.202684941
0.952475052,0.009880447,0.009880447,0.006916313,0.01482067,0,0.000247011,0.00553305,0.000247011,0,0,0,1.203188202
0.952608904,0.013403542,0.010531355,0.006701771,0.007659167,0.005744375,0.001531833,0.001436094,0.000382958,0,0,0,1.203220394
0.95266214,0.026572188,0.006889086,0.005904931,0.00393662,0,0.000344454,0.003346127,0.000344454,0,0,0,1.202604016
0.952663307,0.014823599,0.00395296,0.020753039,0.00395296,0,0.000345884,0.003162368,0.000345884,0,0,0,1.202680747
0.95304417,0.032829288,0.005968961,0.002487067,0.00149224,0.002487067,0.000149224,0.00149224,4.97E-05,0,0,0,1.203050939
0.95322327,0.004913522,0.009827044,0,0.022602201,0.002456761,0.000294811,0.006387579,0.000294811,0,0,0,1.20543345
0.953419227,0.033696729,0.005946482,0,0.004955401,0,0.00024777,0.00148662,0.00024777,0,0,0,1.203903915
0.953423567,0.032842357,0.005971338,0.002488057,0.000995223,0.002488057,0.000199045,0.001492834,9.95E-05,0,0,0,1.20394014
0.953453086,0.019578092,0.007831237,0,0.004405071,0.002936714,0.000244726,0.010767951,0.000293671,0,0,0.000489452,1.204785368
0.953685137,0,0.007825109,0.029344158,0.005868832,0,0.000391255,0.002445347,0.000440162,0,0,0,1.204907115
0.954106872,0.003428515,0.006857031,0.019591517,0.007836607,0.004897879,0.00039183,0.00244894,0.000440809,0,0,0,1.206459067
0.954274354,0.032803181,0.005964215,0,0.004970179,0,0.000248509,0.001491054,0.000248509,0,0,0,1.205988777
0.954297776,0.019635757,0.007854303,0,0.003436257,0.002945364,0.000245447,0.010799666,0.000294536,0,0,0.000490894,1.206759447
0.954309706,0.024697456,0.007903186,0.002963695,0.004939491,0.002963695,0.000246975,0.001481847,9.88E-05,0,0,0.000395159,1.206657468
0.954565419,0.011712459,0.011712459,0,0.007320287,0.002928115,0.00024401,0.010736421,0.000292811,0,0,0.000488019,1.207841904
0.954675057,0.017697375,0.006882312,0,0.00393275,0,0.000245797,0.004424344,0.000344116,0,0,0.01179825,1.207682516
0.95479384,0.032786885,0.005961252,0,0.00496771,0,0.000248385,0.000993542,0.000248385,0,0,0,1.207214208
0.954836151,0.008923702,0.00793218,0.01983045,0.003470329,0,0.000347033,0.004263547,0.000396609,0,0,0,1.208053302
0.954967411,0.017776022,0.003950227,0.00296267,0.011850681,0.002468892,0.000296267,0.005431562,0.000296267,0,0,0,1.208623316
0.955309756,0.008928129,0.007936114,0.019840286,0.00347205,0,0.000148802,0.004265661,9.92E-05,0,0,0,1.209167798
0.955496085,0.010902964,0.009911785,0,0.017841213,0,0.000247795,0.005352364,0.000247795,0,0,0,1.210452019
0.955527068,0.00493048,0.00986096,0,0.022680209,0,0.000295829,0.006409624,0.000295829,0,0,0,1.210866837
0.955614605,0.017714792,0.006889086,0,0.00393662,0,0.000246039,0.003444543,0.000344454,0,0,0.011809861,1.209903813
0.955690704,0.008205425,0.015445506,0.006757409,0.005309393,0.005792065,0.00033787,0.001834154,0.00033787,0,0,0.000289603,1.210722993
0.955728023,0.010738517,0.009762288,0.004881144,0.007809831,0.004881144,0.000390492,0.005369259,0.000439303,0,0,0,1.210623358
0.955820512,0.027704942,0.007915698,0,0.005936773,0,0.000346312,0.001978924,0.000296839,0,0,0,1.210054499
0.955875253,0.00820701,0.015448489,0.006758714,0.005310418,0.005793183,0.000386212,0.001834508,0.000386212,0,0,0,1.211158163
0.956081081,0.003378378,0.017374517,0.008204633,0.006274131,0.005791506,0.000337838,0.002123552,0.000289575,0,0,0.000144788,1.211775793
0.956173376,0.003378705,0.017376195,0.008205425,0.006274737,0.005792065,0.000289603,0.002123757,0.000241336,0,0,0.000144802,1.211993365
0.956245417,0.00977756,0.008799804,0,0.016621853,0.001173307,0.000293327,0.006844292,0.000244439,0,0,0,1.212145248
0.95637503,0,0.014461316,0.010604965,0.00867679,0.003374307,0.000241022,0.001156905,0.000289226,0,0.004820439,0,1.212417043
0.956483058,0.003348193,0.017219278,0.008131326,0.006218073,0.005739759,0.000334819,0.001721928,0.000286988,0,0,0.000516578,1.212720194
0.95657277,0.009780908,0.008802817,0,0.016627543,0.000978091,0.000195618,0.006846635,0.000195618,0,0,0,1.212917832
0.956574567,0.003348513,0.017220925,0.008132104,0.006218667,0.005740308,0.000287015,0.001722093,0.00023918,0,0,0.000516628,1.212936003
0.956619553,0.010759525,0.009781386,0.004890693,0.007825109,0.004890693,0.000391255,0.004401624,0.000440162,0,0,0,1.212736896
0.956809974,0.024736556,0.007915698,0.002968387,0.002968387,0.002473656,0.000148419,0.001484193,9.89E-05,0,0,0.000395785,1.212530264
0.956853537,0.004891889,0.017610801,0.002935134,0.004891889,0.002445945,0.000293513,0.009783778,0.000293513,0,0,0,1.213567148
0.956885932,0.002956393,0.011825573,0.012811037,0.004927322,0.007883715,0.000295639,0.001675289,0.000246366,0,0,0.000492732,1.213306041
0.956900347,0.019568514,0.004402916,0,0.004402916,0.002935277,0.000244606,0.010762683,0.000293528,0,0,0.000489213,1.212853191
0.956947162,0.009784736,0.008806262,0,0.016634051,0.000587084,0.000195695,0.006849315,0.000195695,0,0,0,1.213802016
0.95696128,0.006379742,0.006870491,0.019629975,0.003925995,0.002944496,0.000245375,0.002257447,0.00029445,0,0,0.000490749,1.21310967
0.957168909,0.008871802,0.008871802,0.016757849,0.002957267,0.00246439,0.000246439,0.002267238,0.000394302,0,0,0,1.21371578
0.957211089,0.002954355,0.011817421,0.012802206,0.004923925,0.007878281,0.000246196,0.001674135,9.85E-05,0,0,0.000393914,1.214073483
0.957215373,0.002900653,0.016437032,0.007735074,0.005801305,0.00676819,0.000338409,0.001933768,0.000290065,0,0,0.000580131,1.214403624
0.957238133,0.008336603,0.009807768,0.00294233,0.005884661,0.002451942,0.000294233,0.012750098,0.000294233,0,0,0,1.214085465
0.957254959,0.003411805,0.017546425,0.004874007,0.007798411,0.004874007,0.000389921,0.003411805,0.000438661,0,0,0,1.21463556
0.957398931,0.003351399,0.017235766,0.008139112,0.005266484,0.005745255,0.00033514,0.001723577,0.000287263,0,0,0.000517073,1.21486819
0.957446809,0.011820331,0.008865248,0.014775414,0.002955083,0.002462569,0.000246257,0.001182033,0.000246257,0,0,0,1.214377946
0.957490615,0.00335172,0.017237417,0.008139891,0.005266988,0.005745806,0.00028729,0.001723742,0.000239409,0,0,0.000517123,1.215084617
0.957499751,0.025878372,0.005971932,0.003981288,0.00497661,0,0.000298597,0.000995322,9.95E-05,0,0,0.000298597,1.214073849
0.957544658,0.002904584,0.016459312,0.007745558,0.005809169,0.006777364,0.000242049,0.00193639,9.68E-05,0,0,0.000484097,1.215181526
0.9575632,0.002904641,0.01645963,0.007745708,0.005809281,0.006777495,0.000242053,0.001936427,7.75E-05,0,0,0.000484107,1.21522531
0.957637376,0.002904866,0.016460905,0.007746308,0.005809731,0.00677802,0.000193658,0.001936577,4.84E-05,0,0,0.000484144,1.215400456
0.957642726,0.001453911,0.012600562,0.010662014,0.007754192,0.003392459,0.000242319,0.001163129,0.000242319,0,0.00484637,0,1.215323667
0.957668286,0.024784376,0.007931,0,0.004956875,0.002974125,0.000198275,0.001387925,9.91E-05,0,0,0,1.21458098
0.957768845,0.024812664,0.008932559,0,0.005955039,0,0.000248127,0.001985013,0.000297752,0,0,0,1.214859514
0.958259847,0.024495395,0.005878895,0.003429355,0.003919263,0.002449539,0.000293945,0.000979816,0.000293945,0,0,0,1.215939899
0.958353748,0,0.008623224,0.025477707,0.004409603,0,0.000342969,0.00244978,0.000342969,0,0,0,1.216171117
0.958388343,0.014669209,0.009779473,0.001955895,0.005867684,0.003422816,0.000244487,0.000488974,0.000293384,0,0.004889736,0,1.216849854
0.958472742,0,0.020665223,0.001476087,0.007872466,0.004920291,0.000246015,0.00118087,0.000246015,0,0.004920291,0,1.217742685
0.958538993,0.026653504,0.006910168,0,0.003948667,0,0.000246792,0.003356367,0.000345508,0,0,0,1.216489216
0.958541605,0,0.008624914,0.025482701,0.004410468,0,0.000343036,0.002254239,0.000343036,0,0,0,1.216615937
0.958725706,0.032057704,0.006010819,0,0.001001803,0,0.000200361,0.001803246,0.000200361,0,0,0,1.216516827
0.958917445,0.019470405,0.006911994,0,0.007788162,0.002433801,0.000292056,0.003894081,0.000292056,0,0,0,1.217835782
0.958931222,0.004453241,0.009896091,0,0.019792182,0,0.000247402,0.006432459,0.000247402,0,0,0,1.218756208
0.958964554,0.007844291,0.007844291,0.0107859,0.005883218,0,0.000392215,0.001961073,0.000441241,0,0.005883218,0,1.218244254
0.95899862,0.016755372,0.007884881,0,0.00492805,0,0.000295683,0.010841711,0.000295683,0,0,0,1.218002976
0.95904487,0.014679258,0.007828938,0,0.005871703,0,0.000391447,0.001957234,0.000440378,0,0.009786172,0,1.218462751
0.959260897,0.014742739,0.007862794,0,0.005897096,0,0.00019657,0.002063983,0.000147427,0,0.009828493,0,1.218972516
0.959446093,0.004451039,0.009891197,0,0.019782394,0,0.00024728,0.005934718,0.00024728,0,0,0,1.219980934
0.9594568,0.014760874,0.006888408,0.001968117,0.006888408,0.003444204,0.000246015,0.00118087,0.000246015,0,0.004920291,0,1.21932813
0.959500941,0.003960788,0.00990197,0,0.019803941,0,0.000247549,0.006337261,0.000247549,0,0,0,1.220111001
0.959511378,0.005910748,0.013791745,0.002955374,0.004925623,0.002462812,0.000295537,0.009851246,0.000295537,0,0,0,1.219683664
0.959514368,0.006853674,0.009790963,0.006853674,0.00783277,0.004895481,0.000391639,0.003426837,0.000440593,0,0,0,1.219641477
0.959554767,0.004797774,0.016312431,0.009595548,0.004797774,0.002878664,0.000239889,0.001727199,9.60E-05,0,0,0,1.21990338
0.95959596,0.008912656,0.011883541,0.009902951,0.005941771,0,0.000495148,0.002673797,0.000594177,0,0,0,1.219790828
0.959619223,0.004798096,0.016313527,0.009596192,0.004798096,0.002878858,0.000191924,0.001727315,7.68E-05,0,0,0,1.220055886
0.95964685,0.004798234,0.016313996,0.009596468,0.004798234,0.002878941,0.000191929,0.001727364,4.80E-05,0,0,0,1.220121263
0.959810408,0.011849511,0.007899674,0.011849511,0.003949837,0,0.000345611,0.003949837,0.000345611,0,0,0,1.220038591
0.95982575,0.00338819,0.017424976,0.005324298,0.005324298,0.005808325,0.000338819,0.002129719,0.000290416,0,0,0.000145208,1.220657096
0.959826916,0.008850863,0.006884005,0.009834292,0.005900575,0,0.000393372,0.001966858,0.000442543,0,0.005900575,0,1.220270765
0.96,0.007852761,0.008834356,0,0.015705521,0.001177914,0.000294479,0.005889571,0.000245399,0,0,0,1.221036309
0.960087371,0.011914218,0.00694996,0.014892772,0.00347498,0,0.000297855,0.002084988,0.000297855,0,0,0,1.220583985
0.96010458,0.003389174,0.017430038,0.005325845,0.005325845,0.005810013,0.000290501,0.001936671,0.000242084,0,0,0.00014525,1.221318168
0.960157403,0.014756517,0.006886375,0.001967536,0.006886375,0.003443187,0.000245942,0.000491884,0.000245942,0,0.004918839,0,1.220987684
0.960194175,0.002912621,0.016504854,0.009708738,0.005825243,0.001941748,0.000242718,0.001941748,0.000145631,0,0,0.000582524,1.221457375
0.960261619,0.008918839,0.011891785,0.009909821,0.005945892,0,0.000198196,0.002675652,0.000198196,0,0,0,1.221365726
0.960282783,0.007855074,0.008836958,0,0.015710148,0.000981884,0.000245471,0.005891305,0.000196377,0,0,0,1.221706405
0.960385334,0.012778925,0.006880959,0,0.003931977,0,0.000245749,0.003637079,0.000344048,0,0,0.01179593,1.221357081
0.960493465,0.006853674,0.009790963,0.006853674,0.00783277,0.004895481,0.000391639,0.002447741,0.000440593,0,0,0,1.221966176
0.960532107,0.007825109,0.009781386,0.007825109,0.007825109,0.002934416,0.000293442,0.002738788,0.000244535,0,0,0,1.222038977
0.960660085,0.00785816,0.00884043,0,0.01571632,0.000589362,0.000245568,0.00589362,0.000196454,0,0,0,1.222600931
0.960949086,0.007909046,0.008897677,0,0.016806723,0,0.000247158,0.004943154,0.000247158,0,0,0,1.223342729
0.960981595,0.014723926,0.009815951,0.00196319,0.005889571,0,0.000245399,0.001177914,0.000294479,0,0.004907975,0,1.222998703
0.961,0.026,0.007,0,0.0045,0,0.0002,0.001,0.0001,0,0,0.0002,1.222375366
0.9610531,0.01484634,0.008907804,0.003959024,0.005938536,0.002969268,0.000197951,0.001979512,0.000148463,0,0,0,1.223085065
0.961166493,0,0.009919159,0,0.021822149,0,0.000347171,0.006348262,0.000396766,0,0,0,1.224178218
0.961309524,0.025793651,0.005952381,0,0.004960317,0,0.000248016,0.001488095,0.000248016,0,0,0,1.223109373
0.961327071,0.025981813,0.005995803,0,0.004996502,0,0.00029979,0.0009993,9.99E-05,0,0,0.00029979,1.223141398
0.96139551,0.005946776,0.006442341,0.019822588,0.003468953,0,0.000346895,0.002180485,0.000396452,0,0,0,1.223594446
0.961415581,0.014745638,0.005898255,0.002949128,0.009830425,0.002949128,0.000245761,0.001474564,9.83E-05,0,0,0.000393217,1.223979307
0.961449699,0.003365579,0.016347097,0.005288767,0.005288767,0.005769564,0.000336558,0.00153855,0.000288478,0,0,0.000326942,1.224462092
0.96154216,0.003365902,0.016348669,0.005289275,0.005289275,0.005770118,0.000288506,0.001538698,0.000240422,0,0,0.000326973,1.224681281
0.961681455,0,0.009914242,0,0.021811332,0,0.000346998,0.005849403,0.00039657,0,0,0,1.225405782
